,idProposicao,idDeputadoAutor
681,2234635,109429.0
682,2234634,160639.0
683,2234633,160587.0
684,2234632,204367.0
685,2234631,204428.0
686,2234630,204430.0
687,2234629,73466.0
688,2234628,211866.0
689,2234627,74471.0
690,2234626,73460.0
691,2234625,204519.0
692,2234624,178916.0
693,2234623,204555.0
694,2234622,204533.0
695,2234621,204416.0
696,2234620,204533.0
697,2234619,109429.0
698,2234618,204534.0
699,2234617,204534.0
700,2234616,160570.0
701,2234615,160570.0
702,2234614,160570.0
703,2234613,160570.0
704,2234612,204534.0
705,2234611,204534.0
706,2234610,178854.0
707,2234609,141405.0
710,2234606,160587.0
712,2234604,204521.0
713,2234603,160587.0
717,2234599,178939.0
718,2234598,204408.0
719,2234597,204408.0
720,2234596,204408.0
721,2234595,204408.0
722,2234594,204408.0
723,2234593,204408.0
724,2234592,204408.0
725,2234591,178977.0
726,2234590,204531.0
727,2234589,204364.0
728,2234588,204364.0
729,2234587,72442.0
730,2234586,72442.0
731,2234585,72442.0
732,2234584,204566.0
733,2234583,204566.0
734,2234582,69871.0
735,2234581,92699.0
736,2234580,74060.0
737,2234579,204525.0
738,2234578,204444.0
739,2234577,204444.0
740,2234576,204359.0
741,2234575,178969.0
742,2234574,204359.0
743,2234573,204359.0
744,2234572,204359.0
745,2234571,204359.0
746,2234569,204535.0
747,2234568,204576.0
749,2234566,204504.0
750,2234565,204562.0
751,2234564,204392.0
752,2234563,204352.0
754,2234560,92699.0
756,2234558,157130.0
757,2234557,204527.0
758,2234556,204527.0
759,2234555,204527.0
760,2234554,204407.0
761,2234553,204414.0
762,2234552,204414.0
763,2234551,204414.0
764,2234550,204414.0
765,2234549,204435.0
766,2234548,204435.0
767,2234547,204435.0
768,2234546,204435.0
769,2234545,204435.0
770,2234544,204435.0
771,2234543,204435.0
772,2234542,204435.0
773,2234541,204435.0
774,2234540,204435.0
775,2234539,204435.0
776,2234538,74043.0
777,2234538,74471.0
778,2234538,133439.0
779,2234538,141523.0
780,2234538,160541.0
781,2234538,160510.0
782,2234538,160527.0
783,2234538,160665.0
784,2234538,160531.0
785,2234538,178832.0
786,2234538,178912.0
787,2234538,178916.0
788,2234538,178922.0
789,2234538,178934.0
790,2234538,178951.0
791,2234538,178956.0
792,2234538,178975.0
793,2234538,204488.0
794,2234538,204391.0
795,2234538,204494.0
796,2234538,204357.0
797,2234538,204496.0
798,2234538,204423.0
799,2234538,157130.0
800,2234538,204510.0
801,2234538,204429.0
802,2234538,204527.0
803,2234538,204371.0
804,2234538,204534.0
805,2234538,204537.0
806,2234538,204546.0
807,2234538,204383.0
808,2234538,74060.0
809,2234538,204552.0
810,2234538,122974.0
811,2234537,204435.0
823,2234525,179001.0
824,2234524,178884.0
827,2234521,204541.0
828,2234520,178884.0
829,2234519,116379.0
830,2234517,204541.0
831,2234516,116379.0
832,2234514,178884.0
841,2234503,205548.0
843,2234501,204535.0
844,2234500,205548.0
847,2234496,178954.0
848,2234495,178954.0
850,2234493,178954.0
851,2234492,178954.0
852,2234491,178954.0
853,2234490,178954.0
854,2234489,178954.0
858,2234484,73486.0
859,2234483,73486.0
860,2234482,73486.0
862,2234480,75431.0
863,2234479,75431.0
864,2234477,204416.0
865,2234476,204416.0
866,2234475,204414.0
867,2234474,178969.0
870,2234470,75431.0
875,2234464,141450.0
876,2234462,204363.0
878,2234459,75431.0
883,2234454,141398.0
884,2234453,160758.0
885,2234453,178871.0
886,2234453,161550.0
887,2234452,178839.0
888,2234451,160666.0
889,2234450,204512.0
890,2234449,73486.0
891,2234448,178843.0
892,2234447,73486.0
893,2234441,204559.0
894,2234440,204547.0
895,2234438,204547.0
896,2234437,73486.0
897,2234436,73486.0
898,2234435,73486.0
900,2234433,73486.0
901,2234432,73486.0
902,2234431,204542.0
905,2234427,204404.0
907,2234425,73531.0
908,2234425,74784.0
909,2234425,152605.0
910,2234425,134812.0
911,2234425,76874.0
912,2234425,204535.0
913,2234425,205548.0
918,2234420,178881.0
920,2234417,204541.0
922,2234414,204541.0
923,2234413,204541.0
924,2234412,204541.0
925,2234411,204541.0
926,2234410,204541.0
927,2234409,204395.0
928,2234408,204541.0
929,2234407,204395.0
930,2234406,204541.0
931,2234405,204541.0
932,2234404,204541.0
933,2234403,204541.0
934,2234402,204541.0
935,2234401,204359.0
936,2234400,73531.0
937,2234398,73486.0
938,2234397,73486.0
939,2234394,204503.0
940,2234392,178916.0
941,2234391,204359.0
942,2234390,204395.0
943,2234389,73486.0
944,2234388,204395.0
945,2234387,204395.0
946,2234386,204395.0
947,2234385,141401.0
948,2234384,141401.0
949,2234383,204395.0
950,2234382,178970.0
951,2234381,204395.0
952,2234380,178970.0
953,2234379,178970.0
954,2234378,178970.0
955,2234377,204473.0
956,2234376,204359.0
957,2234375,204473.0
958,2234374,178970.0
959,2234373,204473.0
960,2234372,204473.0
961,2234370,143632.0
962,2234368,139285.0
964,2234366,160666.0
965,2234365,160575.0
966,2234364,204541.0
968,2234362,74459.0
971,2234357,160587.0
972,2234356,160587.0
973,2234355,204407.0
974,2234354,160587.0
975,2234353,204541.0
977,2234351,204398.0
979,2234349,205548.0
980,2234347,160587.0
981,2234345,73701.0
982,2234343,204419.0
983,2234341,74305.0
984,2234339,74305.0
985,2234338,204555.0
986,2234337,204555.0
987,2234336,204555.0
988,2234334,171623.0
991,2234329,143632.0
992,2234327,204404.0
993,2234326,204486.0
994,2234325,178975.0
995,2234324,73772.0
996,2234323,73772.0
997,2234322,178975.0
998,2234321,73772.0
999,2234320,73772.0
1000,2234319,73772.0
1001,2234318,171623.0
1002,2234317,73772.0
1003,2234316,73772.0
1004,2234315,73772.0
1005,2234314,178946.0
1006,2234313,73772.0
1007,2234312,73772.0
1008,2234311,73772.0
1009,2234310,73772.0
1010,2234309,73772.0
1011,2234308,73772.0
1012,2234307,73772.0
1013,2234306,73772.0
1014,2234305,73772.0
1015,2234303,73772.0
1016,2234302,73772.0
1017,2234301,73772.0
1018,2234300,73772.0
1019,2234299,73772.0
1020,2234298,73772.0
1021,2234297,73772.0
1022,2234296,178922.0
1023,2234295,73772.0
1024,2234294,204561.0
1025,2234293,73772.0
1026,2234292,73772.0
1027,2234291,73772.0
1028,2234290,73772.0
1029,2234289,73772.0
1030,2234288,73772.0
1031,2234287,73772.0
1032,2234286,73772.0
1033,2234285,73772.0
1034,2234284,73772.0
1035,2234283,73772.0
1036,2234282,73772.0
1037,2234281,73772.0
1038,2234280,204541.0
1039,2234279,73772.0
1040,2234278,204541.0
1041,2234277,73772.0
1042,2234276,204541.0
1043,2234275,73772.0
1044,2234274,204541.0
1045,2234273,73772.0
1046,2234272,204541.0
1047,2234271,73772.0
1048,2234270,73772.0
1049,2234269,204541.0
1050,2234268,73772.0
1051,2234267,204541.0
1052,2234266,73772.0
1053,2234265,73772.0
1054,2234264,204541.0
1055,2234263,73772.0
1056,2234262,204541.0
1057,2234261,73772.0
1058,2234260,74043.0
1059,2234260,74471.0
1060,2234260,74262.0
1061,2234260,133439.0
1062,2234260,141523.0
1063,2234260,160541.0
1064,2234260,160665.0
1065,2234260,160531.0
1066,2234260,178912.0
1067,2234260,178916.0
1068,2234260,178922.0
1069,2234260,178934.0
1070,2234260,178951.0
1071,2234260,178956.0
1072,2234260,178975.0
1073,2234260,204488.0
1074,2234260,204391.0
1075,2234260,204494.0
1076,2234260,204357.0
1077,2234260,204371.0
1078,2234260,204534.0
1079,2234260,204546.0
1080,2234260,74060.0
1081,2234260,204552.0
1082,2234260,178854.0
1083,2234260,122974.0
1084,2234259,73772.0
1085,2234258,204541.0
1086,2234257,73772.0
1087,2234256,204541.0
1088,2234255,73772.0
1089,2234254,204541.0
1090,2234253,73772.0
1091,2234252,73772.0
1092,2234250,73772.0
1093,2234249,204541.0
1094,2234248,73772.0
1095,2234247,73772.0
1096,2234246,204541.0
1097,2234245,73772.0
1098,2234244,204541.0
1099,2234243,73772.0
1100,2234242,73772.0
1101,2234241,204541.0
1102,2234240,73772.0
1103,2234239,204541.0
1104,2234238,206231.0
1105,2234237,73772.0
1106,2234236,73772.0
1107,2234235,73772.0
1108,2234234,204526.0
1109,2234233,204526.0
1110,2234232,204526.0
1111,2234231,73772.0
1113,2234229,73772.0
1115,2234227,73772.0
1116,2234226,73772.0
1117,2234225,73772.0
1118,2234224,73772.0
1119,2234223,73772.0
1120,2234222,73772.0
1121,2234220,73772.0
1122,2234218,73772.0
1124,2234215,73772.0
1126,2234212,73772.0
1127,2234211,73772.0
1130,2234208,73772.0
1134,2234204,133439.0
1135,2234203,73772.0
1140,2234198,73772.0
1141,2234197,133439.0
1144,2234194,73772.0
1147,2234191,73772.0
1149,2234189,73772.0
1151,2234187,73772.0
1152,2234186,133439.0
1154,2234184,204421.0
1156,2234182,73772.0
