,deputado_id,nome,idLegislaturaFinal,nomeCivil,siglaSexo,ufNascimento,municipioNascimento
3895,74571,Nelson Pellegrino,56,NELSON VICENTE PORTELA PELLEGRINO,M,BA,Salvador
3898,74574,Paulo Magalhaes,56,PAULO SERGIO PARANHOS DE MAGALHAES,M,BA,Salvador
3909,74585,Lincoln Portela,56,LINCOLN DINIZ PORTELA,M,MG,Belo Horizonte
3934,74646,Aecio Neves,56,AECIO NEVES DA CUNHA,M,MG,Belo Horizonte
3943,74655,Eduardo Barbosa,56,EDUARDO LUIZ BARROS BARBOSA,M,MG,Para de Minas
3981,74693,Rodrigo Maia,56,RODRIGO FELINTO IBARRA EPITACIO MAIA,M,,Santiago
4003,74749,Mauro Lopes,56,MAURO RIBEIRO LOPES,M,MG,Entre Folhas
4038,74784,Luiza Erundina,56,LUIZA ERUNDINA DE SOUSA,F,PB,Uirauna
4060,74806,Tadeu Filippelli,56,NELSON TADEU FILIPPELLI,M,SP,Catanduva
4091,74848,Jandira Feghali,56,JANDIRA FEGHALI,F,PR,Curitiba
4107,75431,Mauricio Dziedricki,56,MAURICIO ALEXANDRE DZIEDRICKI,M,PR,Curitiba
4110,76874,Marcelo Freixo,56,MARCELO RIBEIRO FREIXO,M,RJ,Niteroi
4114,81055,Marcio Jerry,56,MARCIO JERRY SARAIVA BARROSO,M,MA,Colinas
4116,81297,Dra. Soraya Manato,56,SORAYA DE SOUZA MANNATO,F,ES,Linhares
4123,90201,Pedro Augusto Bezerra,56,PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,M,CE,Juazeiro do Norte
4124,90842,Santini,56,RONALDO SANTINI,M,RS,Lagoa Vermelha
4126,92102,Leur Lomanto Junior,56,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,M,BA,Salvador
4127,92346,Eduardo Bolsonaro,56,EDUARDO NANTES BOLSONARO,M,RJ,Rio de Janeiro
4129,92699,Fernando Monteiro,56,FERNANDO MONTEIRO DE ALBUQUERQUE,M,PE,Recife
4130,92776,Stefano Aguiar,56,STEFANO AGUIAR DOS SANTOS,M,MG,Belo Horizonte
4131,93083,Caca Leao,56,CARLOS FELIPE VAZQUEZ DE SOUZA LEAO,M,BA,Salvador
4136,98057,Lafayette de Andrada,56,LAFAYETTE LUIZ DOORGAL DE ANDRADA,M,MG,Belo Horizonte
4141,107283,Gleisi Hoffmann,56,GLEISI HELENA HOFFMANN,F,PR,Curitiba
4142,108338,Jaqueline Cassol,56,DIRLAINE JAQUELINE CASSOL,F,SC,Sao Miguel do Oeste
4145,109429,Benes Leocadio,56,LUIZ BENES LEOCADIO DE ARAUJO,M,RN,Santana do Matos
4146,112437,Joao Marcelo Souza,56,JOAO MARCELO SANTOS SOUZA,M,MA,Sao Luis
4150,115746,Gelson Azevedo,56,GELSON DE AZEVEDO ALMEIDA,M,RJ,Campos dos Goytacazes
4152,116379,Darci de Matos,56,DARCI DE MATOS,M,PR,Cafelandia
4157,121948,Adriano do Baldy,56,ADRIANO ANTONIO AVELAR,M,GO,Goias
4158,122158,Pedro Paulo,56,PEDRO PAULO CARVALHO TEIXEIRA,M,RJ,Rio de Janeiro
4160,122466,Ronaldo Martins,56,RONALDO MANCHADO MARTINS,M,SP,Sao Paulo
4161,122974,Pedro Lucas Fernandes,56,PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,M,MA,Sao Luis
4164,128760,Paulo Marinho Jr,56,PAULO CELSO FONSECA MARINHO JUNIOR,M,MA,Caxias
6190,132504,Enio Verri,56,ENIO JOSE VERRI,M,PR,Maringa
6199,133439,Andre Figueiredo,56,ANDRE PEIXOTO FIGUEIREDO LIMA,M,CE,Fortaleza
6204,133810,Marcelo Moraes,56,MARCELO PIRES MORAES,M,RS,Porto Alegre
6333,133968,Paulo Ramos,56,Paulo Sergio Ramos Barboza,M,RJ,Rio de Janeiro
6366,134812,Edmilson Rodrigues,56,EDMILSON BRITO RODRIGUES,M,PA,Belem
6368,135054,Cristiano Vale,56,CRISTIANO DUTRA VALE,M,MG,Manhuacu
6372,136811,Afonso Hamm,56,JOSE ALFONSO EBERT HAMM,M,RS,Hulha Negra
6373,137070,Vicentinho Junior,56,VICENTE ALVES DE OLIVEIRA JUNIOR,M,GO,Goiania
6541,139285,Lidice da Mata,56,LIDICE DA MATA E SOUZA,F,BA,Cachoeira
6647,141335,Beto Faro,56,JOSE ROBERTO OLIVEIRA FARO,M,PA,Bujaru
6671,141391,Arnaldo Jardim,56,ARNALDO CALIL PEREIRA JARDIM,M,SP,Altinopolis
6678,141398,Carlos Zarattini,56,CARLOS ALBERTO ROLIM ZARATTINI,M,SP,Sao Paulo
6681,141401,Carlos Bezerra,56,CARLOS GOMES BEZERRA,M,MT,Chapada dos Guimaraes
6685,141405,Celso Maldaner,56,CELSO MALDANER,M,SC,Chapeco
6688,141408,Cleber Verde,56,CLEBER VERDE CORDEIRO MENDES,M,MA,Santa Luzia
