,Unnamed: 0,deputado_id,nome,idLegislaturaFinal,nomeCivil,siglaSexo,ufNascimento,municipioNascimento,betweenness_centrality
249,7215,178896,Newton Cardoso Jr,56,NEWTON CARDOSO JUNIOR,M,MG,Belo Horizonte,0.0
251,7227,178908,Delegado Eder Mauro,56,EDER MAURO CARDOSO BARRA,M,PA,Belem,0.0
252,7228,178909,Helio Leite,56,HELIO LEITE DA SILVA,M,PA,Castanhal,0.0020631250662962314
253,7229,178910,Joaquim Passarinho,56,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,M,PA,Belem,0.00022377012506481333
254,7231,178912,Pedro Cunha Lima,56,PEDRO OLIVEIRA CUNHA LIMA,M,PB,Campina Grande,0.0
255,7235,178916,Daniel Coelho,56,DANIEL PIRES COELHO,M,PE,Recife,0.0
256,7239,178920,Ricardo Teobaldo,56,RICARDO TEOBALDO CAVALCANTI,M,PE,Limoeiro,0.0
257,7240,178921,Sebastiao Oliveira,56,SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,M,PE,Recife,0.0
258,7241,178922,Tadeu Alencar,56,FRANCISCO TADEU BARBOSA DE ALENCAR,M,CE,Juazeiro do Norte,0.0
259,7243,178924,Capitao Fabio Abreu,56,FABIO ABREU COSTA,M,CE,Fortaleza,0.0
260,7244,178925,Rejane Dias,56,REJANE RIBEIRO SOUSA DIAS,F,PI,Teresina,0.0
261,7246,178927,Aliel Machado,56,ALIEL MACHADO BARK,M,PR,Ponta Grossa,0.0
262,7247,178928,Christiane de Souza Yared,56,CHRISTIANE DE SOUZA YARED,F,PR,Curitiba,0.0
263,7248,178929,Diego Garcia,56,DIEGO ALEXSANDER GONCALO PAULA GARCIA,M,PR,Bandeirantes,0.0
264,7249,178930,Roman,56,EVANDRO ROGERIO ROMAN,M,RS,Erval Grande,0.0
265,7250,178931,Luciano Ducci,56,LUCIANO DUCCI,M,PR,Curitiba,0.0
266,7252,178933,Sergio Souza,56,SERGIO DE SOUZA,M,PR,Ivaipora,0.0
267,7253,178934,Toninho Wandscheer,56,ANTONIO WANDSCHEER,M,PR,Foz do Iguacu,0.0
