deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo
171623,Fabio Reis,54,56,M
171782,ERON BEZERRA,54,55,M
177282,Subtenente Gonzaga,54,56,M
178802,LUIZ CARLOS RAMOS,55,55,M
178825,LEO DE BRITO,55,55,M
178826,MAJOR OLIMPIO,55,55,M
178827,MAX FILHO,54,55,M
178828,EVANDRO GUSSI,55,55,M
178829,Capitao Augusto,55,56,M
178830,Dr. Sinval Malheiros,54,56,M
178831,Andre Abdon,55,56,M
178832,Leandre,55,56,F
178833,Alexandre Serfiotis,55,56,M
178834,BEBETO,54,55,M
178835,Afonso Motta,54,56,M
178836,Alan Rick,55,56,M
178837,ANGELIM,55,55,M
178838,CESAR MESSIAS,55,55,M
178839,Jessica Sales,55,56,F
178840,ROCHA,55,55,M
178841,CICERO ALMEIDA,55,55,M
178842,Jhc,55,56,M
178843,Marx Beltrao,55,56,M
178844,PEDRO VILELA,55,55,M
178845,RONALDO LESSA,55,55,M
178846,ALFREDO NASCIMENTO,55,55,M
178847,ARTHUR VIRGILIO BISNETO,55,55,M
178848,CONCEICAO SAMPAIO,55,55,F
178849,HISSA ABRAHAO,55,55,M
178850,MARCOS ROTTA,55,55,M
178851,JOZI ARAUJO,55,55,F
178852,MARCOS REATEGUI,55,55,M
178853,Caetano,55,56,M
178854,Elmar Nascimento,55,56,M
178855,IRMAO LAZARO,55,55,M
178856,JOAO GUALBERTO,55,55,M
178857,Jorge Solla,55,56,M
178858,Mario Negromonte Jr.,55,56,M
178859,MOEMA GRAMACHO,55,55,F
178860,Paulo Azi,55,56,M
178861,Ronaldo Carletto,55,56,M
178862,TIA ERON,55,55,F
178863,Uldurico Junior,55,56,M
178864,ADAIL CARNEIRO,55,55,M
178865,CABO SABINO,55,55,M
178866,Luizianne Lins,55,56,F
178867,MACEDO,55,55,M
178868,ODORICO MONTEIRO,55,55,M
178869,VITOR VALIM,55,55,M
178870,RONEY NEMER,55,55,M
178871,Evair Vieira de Melo,55,56,M
178872,GIVALDO VIEIRA,55,55,M
178873,Helder Salomao,55,56,M
178874,Sergio Vidigal,55,56,M
178875,ALEXANDRE BALDY,55,55,M
178876,Celio Silveira,55,56,M
178877,FABIO SOUSA,55,55,M
178878,GIUSEPPE VECCI,55,55,M
178879,Lucas Vergilio,55,56,M
178880,MARCOS ABRAO,55,55,M
178881,Aluisio Mendes,55,56,M
178882,Andre Fufuca,55,56,M
178883,ELIZIANE GAMA,55,55,F
178884,Hildo Rocha,55,56,M
178885,JUNIOR MARRECA,55,55,M
178886,Juscelino Filho,55,56,M
178887,Rubens Pereira Junior,55,56,M
178888,VICTOR MENDES,55,55,M
178889,Ze Carlos,55,56,M
178890,ADELMO CARNEIRO LEAO,55,55,M
178891,CAIO NARCIO,55,55,M
178892,DAMINA PEREIRA,55,55,F
178893,DELEGADO EDSON MOREIRA,55,55,M
178894,LAUDIVIO CARVALHO,55,55,M
178895,Misael Varella,55,56,M
178896,Newton Cardoso Jr,55,56,M
178897,RODRIGO PACHECO,55,55,M
178898,TENENTE LUCIO,55,55,M
178899,MARCIO MONTEIRO,55,55,M
178900,CARLOS MARUN,55,55,M
178901,Tereza Cristina,55,56,F
178902,ZECA DO PT,55,55,M
178903,ADILTON SACHETTI,55,55,M
178904,EZEQUIEL FONSECA,55,55,M
178905,FABIO GARCIA,55,55,M
178906,BETO SALAME,55,55,M
178907,FRANCISCO CHAPADINHA,55,55,M
178908,Delegado Eder Mauro,55,56,M
178909,Helio Leite,55,56,M
178910,Joaquim Passarinho,55,56,M
178911,SIMONE MORGADO,55,55,F
178912,Pedro Cunha Lima,55,56,M
178913,VENEZIANO VITAL DO REGO,55,55,M
178914,ADALBERTO CAVALCANTI,55,55,M
178915,BETINHO GOMES,55,55,M
178916,Daniel Coelho,55,56,M
178917,JOAO FERNANDO COUTINHO,55,55,M
178918,KAIO MANICOBA,55,55,M
178919,MARINALDO ROSENDO,55,55,M
178920,Ricardo Teobaldo,55,56,M
178921,Sebastiao Oliveira,55,56,M
178922,Tadeu Alencar,55,56,M
178923,ZECA CAVALCANTI,55,55,M
178924,Capitao Fabio Abreu,55,56,M
178925,Rejane Dias,55,56,F
178926,RODRIGO MARTINS,55,55,M
178927,Aliel Machado,55,56,M
178928,Christiane de Souza Yared,55,56,F
178929,Diego Garcia,55,56,M
178930,Roman,55,56,M
178931,Luciano Ducci,55,56,M
178932,MARCELO BELINATI,55,55,M
178933,Sergio Souza,55,56,M
178934,Toninho Wandscheer,55,56,M
178935,ROSSONI,55,55,M
178936,ALEXANDRE VALLE,55,55,M
178937,Altineu Cortes,55,56,M
178938,CABO DACIOLO,55,55,M
178939,Clarissa Garotinho,55,56,F
178940,DR. JOAO,55,55,M
178941,EZEQUIEL TEIXEIRA,55,55,M
178942,MARCO ANTONIO CABRAL,55,55,M
178943,Marcos Soares,55,56,M
178944,ROBERTO SALES,55,55,M
178945,Rosangela Gomes,55,56,F
178946,Soraya Santos,55,56,F
178947,Sostenes Cavalcante,55,56,M
178948,Beto Rosado,55,56,M
178949,ZENAIDE MAIA,55,55,F
178950,ANTONIO JACOME,55,55,M
178951,Rafael Motta,55,56,M
178952,Walter Alves,55,56,M
178953,Expedito Netto,55,56,M
178954,Lucio Mosquini,55,56,M
178955,LUIZ CLAUDIO,55,55,M
178956,Mariana Carvalho,55,56,F
178957,ABEL MESQUITA JR.,55,55,M
178958,CARLOS ANDRADE,55,55,M
178959,Hiran Goncalves,55,56,M
178960,REMIDIO MONAI,55,55,M
178961,Sheridan,55,56,F
178962,Carlos Gomes,55,56,M
178963,Covatti Filho,55,56,M
178964,Heitor Schuch,55,56,M
178965,JOAO DERLY,55,55,M
178966,Geovania de Sa,55,56,F
178967,JOAO PAULO KLEINUBING,55,55,M
178968,ADELSON BARRETO,55,55,M
178969,Fabio Mitidieri,55,56,M
178970,Joao Daniel,55,56,M
178971,JONY MARCOS,55,55,M
178972,Alex Manente,55,56,M
178973,ANA PERUGINI,55,55,F
178974,ANDRES SANCHEZ,55,55,M
178975,Baleia Rossi,55,56,M
178976,BRUNO COVAS,55,55,M
178977,Eduardo Cury,55,56,M
178978,FLAVINHO,55,55,M
178979,FLORIANO PESARO,55,55,M
178980,GOULART,55,55,M
