deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,betweenness_centrality,eigenvecto_centrality,Frentes
74571,Nelson Pellegrino,51,56,M,0.0,3.9074932244178144e-11,73
74574,Paulo Magalhaes,51,56,M,5.93939866022745e-06,0.0033357930486442467,32
74585,Lincoln Portela,51,56,M,0.0,3.9074932244178144e-11,265
74646,Aecio Neves,48,56,M,0.004948337764982121,0.3381529227602313,0
74655,Eduardo Barbosa,50,56,M,0.0,3.9074932244178144e-11,183
74693,Rodrigo Maia,51,56,M,0.0,3.9074932244178144e-11,29
74749,Mauro Lopes,50,56,M,0.0,3.9074932244178144e-11,222
74784,Luiza Erundina,51,56,F,0.0,3.9074932244178144e-11,65
74848,Jandira Feghali,49,56,F,0.0027203833668658717,0.09832289575420072,54
75431,Mauricio Dziedricki,54,56,M,0.0,3.9074932244178144e-11,0
92346,Eduardo Bolsonaro,55,56,M,0.0,3.9074932244178144e-11,200
92699,Fernando Monteiro,55,56,M,0.0,3.9074932244178144e-11,119
92776,Stefano Aguiar,54,56,M,0.0,3.9074932244178144e-11,203
93083,Caca Leao,55,56,M,0.0,3.9074932244178144e-11,177
112437,Joao Marcelo Souza,55,56,M,0.0,3.9074932244178144e-11,150
122158,Pedro Paulo,54,56,M,0.002643000812063568,0.21950980566738848,61
122466,Ronaldo Martins,55,56,M,0.0,3.9074932244178144e-11,226
132504,Enio Verri,55,56,M,0.0,3.9074932244178144e-11,131
133439,Andre Figueiredo,52,56,M,0.0031156591645204344,0.18484594194538204,163
133968,Paulo Ramos,48,56,M,0.0006053800139587865,0.02042666344689811,0
134812,Edmilson Rodrigues,55,56,M,0.0,3.9074932244178144e-11,230
136811,Afonso Hamm,52,56,M,0.00013795379558566594,0.032686530621048024,180
137070,Vicentinho Junior,55,56,M,0.0,3.9074932244178144e-11,132
139285,Lidice da Mata,48,56,F,0.0,3.9074932244178144e-11,0
141335,Beto Faro,52,56,M,0.0,3.9074932244178144e-11,102
141391,Arnaldo Jardim,53,56,M,0.0,3.9074932244178144e-11,14
141398,Carlos Zarattini,53,56,M,0.0,3.9074932244178144e-11,171
141401,Carlos Bezerra,46,56,M,0.0,3.9074932244178144e-11,14
