id,idOrgao,idEvento,aprovacao,votosSim,votosNao,votosOutros,ultimaApresentacaoProposicao_idProposicao
2218099-2,538539,57154,1.0,0,0,0,0
2218105-2,538539,57154,1.0,0,0,0,0
2218106-2,538539,57154,1.0,0,0,0,0
2218107-2,538539,57154,1.0,0,0,0,0
2218148-2,538539,57154,1.0,0,0,0,0
2218149-2,538539,57154,1.0,0,0,0,0
2218164-2,538539,57154,1.0,0,0,0,0
2074696-19,6855,57196,1.0,0,0,0,2215628
2080369-18,6855,57196,1.0,0,0,0,2215630
2123560-14,6855,57196,1.0,0,0,0,0
2217866-2,538355,57149,1.0,0,0,0,0
2187087-34,180,57226,1.0,0,0,0,2209128
946475-72,180,57226,1.0,0,0,0,2218527
946475-76,180,57226,1.0,0,0,0,2218527
2187087-39,180,57226,0.0,79,296,6,2209128
2187087-53,180,57226,0.0,67,295,10,2218547
2187087-58,180,57226,1.0,0,0,0,2218547
2187087-59,180,57226,0.0,0,0,0,2218547
2187087-60,180,57226,1.0,263,144,8,2218547
2123665-37,2006,57146,1.0,0,0,0,2204386
526012-66,2006,57146,1.0,0,0,0,2215028
2199026-23,2004,57130,1.0,0,0,0,2215957
2187313-36,2006,57146,1.0,0,0,0,2217850
2194541-25,2008,57144,1.0,0,0,0,2211453
2191305-34,2006,57146,1.0,0,0,0,2217848
2190850-23,2012,57129,1.0,0,0,0,2211544
120877-113,2011,57126,1.0,0,0,0,2199899
538707-93,2008,57144,1.0,0,0,0,2216738
2193740-32,2016,57133,1.0,0,0,0,2203388
2167700-40,2001,57128,1.0,0,1,0,2217310
2208687-21,2008,57144,1.0,0,0,0,2217526
2017078-41,2011,57126,1.0,0,0,0,2207419
2137651-36,2011,57126,1.0,0,0,0,2204949
2193097-29,2001,57128,1.0,0,1,0,2214478
2202984-31,2014,57227,1.0,0,0,0,2208842
2146072-39,2016,57133,1.0,0,0,0,2205798
2173294-37,2016,57133,1.0,0,0,0,2205801
2190617-26,2004,57130,1.0,0,0,0,2207615
2205646-21,2016,57133,1.0,0,0,0,2217899
2195860-30,2014,57227,1.0,0,0,0,2210204
2195044-22,2009,57101,1.0,0,0,0,2203391
2200868-29,2004,57130,1.0,0,0,0,2216655
590528-39,2012,57129,1.0,0,0,0,2217483
2171249-28,2014,57227,1.0,0,0,0,2212128
359897-173,2003,57235,1.0,0,0,0,2213773
2191097-25,2014,57227,1.0,0,0,0,2213919
2195031-27,2003,57235,1.0,0,0,0,2214936
2085214-48,2009,57101,1.0,0,0,0,2214306
2192483-23,537480,57141,1.0,0,0,0,2215194
955556-104,537480,57141,1.0,0,0,0,2215231
2181447-34,537480,57141,1.0,0,0,0,2216876
2190159-31,537480,57141,1.0,0,0,0,2212190
2203194-21,537480,57141,1.0,0,0,0,2218212
2204555-26,537480,57141,1.0,0,0,0,2213398
2193497-37,5503,57187,1.0,0,0,0,0
2172931-36,536996,57140,1.0,0,0,0,2218220
2205559-26,5503,57187,1.0,0,0,0,0
543149-96,2003,57235,1.0,0,0,0,2212317
2190536-25,5503,57187,1.0,0,0,0,2205083
2190706-39,2009,57101,1.0,0,0,0,2214618
2198219-23,2009,57101,1.0,0,0,0,2213383
2190693-30,5503,57187,1.0,0,0,0,2215308
2190728-26,5503,57187,1.0,0,0,0,2209659
2190897-38,5503,57187,1.0,0,1,0,0
2182541-29,5503,57187,1.0,0,0,0,2211374
362539-104,536996,57140,1.0,0,0,0,2213464
2145400-49,2003,57235,1.0,0,2,0,2210516
2181603-44,536996,57140,1.0,0,0,0,2217414
585094-57,2003,57235,1.0,0,0,0,2214256
2216788-10,180,57238,1.0,0,0,0,0
2136700-54,536996,57140,1.0,0,0,0,0
2218160-2,2014,57227,1.0,0,0,0,0
2218291-2,2014,57227,1.0,0,0,0,0
2218293-2,2014,57227,1.0,0,0,0,0
2218295-2,2014,57227,1.0,0,0,0,0
2218390-2,2014,57227,1.0,0,0,0,0
2187087-67,180,57234,0.0,62,305,12,2218547
2187087-70,180,57234,0.0,0,0,0,2218547
2187087-73,180,57234,1.0,0,0,0,2218547
2187087-82,180,57234,0.0,0,0,0,2218547
2187087-93,180,57234,0.0,0,0,0,2218547
2187087-95,180,57234,1.0,0,0,0,2218547
2187087-97,180,57234,1.0,0,0,0,2218547
2079700-126,2003,57235,0.0,0,0,0,0
2218317-2,2006,57146,1.0,0,0,0,0
2216877-2,2009,57101,1.0,0,0,0,0
2218196-2,2008,57144,1.0,0,0,0,0
2216739-2,2009,57101,1.0,0,0,0,0
2216409-2,2004,57130,1.0,0,0,0,0
2216429-2,2004,57130,1.0,0,0,0,0
2199021-4,2012,0,1.0,0,0,0,2217819
2216296-2,2009,57101,1.0,0,0,0,0
2217226-3,2004,57130,1.0,0,0,0,0
2217835-2,2008,57144,1.0,0,0,0,0
2218399-2,2008,57144,1.0,0,0,0,0
2217146-2,2009,57101,1.0,0,0,0,0
2203904-23,2001,57128,1.0,0,1,0,2214667
2214711-3,2004,57130,1.0,0,0,0,0
2209785-3,2011,57126,1.0,0,0,0,0
2209787-3,2011,57126,1.0,0,0,0,0
2214713-3,2004,57130,1.0,0,0,0,0
2217818-3,2004,57130,1.0,0,0,0,0
2217796-2,2001,57128,1.0,0,0,0,0
2216321-2,2009,57101,1.0,0,0,0,0
2217347-2,2009,57101,1.0,0,0,0,0
2218218-2,2001,57128,1.0,0,0,0,0
2215851-3,2004,57130,1.0,0,0,0,0
2218245-2,2001,57128,1.0,0,0,0,0
2217871-2,2009,57101,1.0,0,0,0,0
2217872-2,2009,57101,1.0,0,0,0,0
2216485-3,2011,57126,1.0,0,0,0,0
2218249-2,2001,57128,1.0,0,0,0,0
2218097-2,2009,57101,1.0,0,0,0,0
2176195-31,2001,57128,1.0,0,2,0,2210812
2218368-2,2001,57128,1.0,0,0,0,0
2218383-2,2001,57128,1.0,0,0,0,0
1227906-71,2011,57126,1.0,0,0,0,2195854
2208684-21,2008,57144,1.0,0,0,0,2217523
2216298-2,2009,57101,1.0,0,0,0,0
2217819-2,2012,57129,1.0,0,0,0,0
2198500-22,2001,57128,0.0,0,0,0,2216078
2168694-32,2004,57130,1.0,0,0,0,2207497
2216438-3,2004,57130,1.0,0,0,0,0
2215852-2,2004,57130,1.0,0,0,0,0
2206089-21,2004,57130,1.0,0,0,0,2217579
2217492-2,2016,57133,1.0,0,0,0,0
2218256-2,2016,57133,1.0,0,0,0,0
2218462-2,2016,57133,1.0,0,0,0,0
2217663-2,2016,57133,1.0,0,0,0,0
2218306-2,2016,57133,1.0,0,0,0,0
2217921-2,538430,57145,1.0,0,0,0,0
2218229-2,538430,57145,1.0,0,0,0,0
2218230-2,538430,57145,1.0,0,0,0,0
2217876-2,538430,57145,1.0,0,0,0,0
2218409-2,538430,57145,1.0,0,0,0,0
2218412-2,538430,57145,1.0,0,0,0,0
2218414-2,538430,57145,1.0,0,0,0,0
2218417-2,538430,57145,1.0,0,0,0,0
2218423-2,538430,57145,1.0,0,0,0,0
2218393-2,537236,57191,1.0,0,0,0,0
2218396-3,537236,57191,1.0,0,0,0,0
2218088-4,537871,56738,1.0,0,0,0,0
2218089-4,537871,56738,1.0,0,0,0,0
2218207-2,537480,57141,1.0,0,0,0,0
2217307-3,5503,57187,1.0,0,0,0,0
2217417-3,5503,57187,1.0,0,0,0,0
2217535-3,5503,57187,1.0,0,0,0,0
2218068-3,5503,57187,1.0,0,0,0,0
2218152-3,5503,57187,1.0,0,0,0,0
2218153-3,5503,57187,1.0,0,0,0,0
2190704-30,5503,57187,1.0,0,0,0,0
2214571-3,2007,57100,1.0,0,0,0,0
2214650-3,2007,57100,1.0,0,0,0,0
2215227-3,2007,57100,1.0,0,0,0,0
2215750-3,2007,57100,1.0,0,0,0,0
2215824-3,2007,57100,1.0,0,0,0,0
2215971-3,2007,57100,1.0,0,0,0,0
2216267-3,2007,57100,1.0,0,0,0,0
2216304-3,2007,57100,1.0,0,0,0,0
2216310-3,2007,57100,1.0,0,0,0,0
2216317-3,2007,57100,1.0,0,0,0,0
2216389-2,2007,57100,1.0,0,0,0,0
2217939-2,2007,57100,1.0,0,0,0,0
2218067-2,2007,57100,1.0,0,0,0,0
2218296-2,2007,57100,1.0,0,0,0,0
2218406-2,2007,57100,1.0,0,0,0,0
2218411-2,2007,57100,1.0,0,0,0,0
2218415-2,2007,57100,1.0,0,0,0,0
2217491-2,537870,57167,1.0,0,0,0,0
2218297-2,537870,57167,1.0,0,0,0,0
2218410-2,537870,57167,1.0,0,0,0,0
2193497-35,5503,57187,1.0,0,0,0,0
2176598-53,5503,57187,1.0,0,0,0,0
2205559-23,5503,57187,1.0,0,0,0,0
2217491-3,537870,57167,1.0,0,0,0,0
2216896-3,5438,57153,1.0,0,0,0,0
2218084-2,5438,57153,1.0,0,0,0,0
2217768-2,5438,57153,1.0,0,0,0,0
2217769-2,5438,57153,1.0,0,0,0,0
2218348-2,5438,57153,1.0,0,0,0,0
2218433-2,5438,57153,1.0,0,0,0,0
2217313-4,536996,57140,1.0,0,0,0,0
2217375-3,538484,57152,1.0,0,0,0,0
2217524-2,538484,57152,1.0,0,0,0,0
2218162-2,538484,57152,1.0,0,0,0,0
2216584-3,538621,57160,1.0,0,0,0,0
2217474-4,538621,57160,1.0,0,0,0,0
2218494-2,538621,57160,1.0,0,0,0,0
2218495-2,538621,57160,1.0,0,0,0,0
2218496-2,538621,57160,1.0,0,0,0,0
2218497-2,538621,57160,1.0,0,0,0,0
2218500-2,538621,57160,1.0,0,0,0,0
2218424-2,538553,57186,1.0,0,0,0,0
2218426-2,538553,57186,1.0,0,0,0,0
2218592-2,538474,57231,1.0,0,0,0,0
556168-40,2003,57189,1.0,0,0,0,2211804
599279-45,2003,57189,1.0,0,0,0,2211806
944309-96,2003,57189,1.0,0,0,0,2210744
955460-108,2003,57189,1.0,0,0,0,0
2113545-56,2003,57189,1.0,0,0,0,2210759
2134279-40,2003,57189,1.0,0,0,0,2211807
2150713-53,2003,57189,1.0,0,0,0,2210463
2168131-63,2003,57189,1.0,0,0,0,2209801
2196005-34,2003,57189,1.0,0,0,0,2210764
2198641-35,2003,57189,1.0,0,0,0,2211580
2198658-36,2003,57189,1.0,0,0,0,2210767
2198660-36,2003,57189,1.0,0,0,0,2210134
2198662-36,2003,57189,1.0,0,0,0,2210769
2198669-36,2003,57189,1.0,0,0,0,2210768
2204720-36,2003,57189,1.0,0,0,0,2211353
2204686-35,2003,57189,1.0,0,0,0,2211352
2204689-35,2003,57189,1.0,0,0,0,2211484
2204704-35,2003,57189,1.0,0,0,0,2209836
2204705-34,2003,57189,1.0,0,0,0,2211489
2204708-34,2003,57189,1.0,0,0,0,2211486
2204709-34,2003,57189,1.0,0,0,0,2211338
2204711-34,2003,57189,1.0,0,0,0,2211490
2204715-35,2003,57189,1.0,0,0,0,2211488
2204716-34,2003,57189,1.0,0,0,0,2211487
2204717-34,2003,57189,1.0,0,0,0,2211483
2204684-34,2003,57189,1.0,0,0,0,2211350
2204728-34,2003,57189,1.0,0,0,0,2211354
2205790-33,2003,57189,1.0,0,0,0,2211600
2205829-33,2003,57189,1.0,0,0,0,2211599
2205835-33,2003,57189,1.0,0,0,0,2211351
596256-84,2003,57189,1.0,0,0,0,2204324
2116962-60,2003,57189,1.0,0,0,0,2210451
2166955-68,2003,57189,1.0,0,0,0,2209987
2168620-67,2003,57189,1.0,0,0,0,2204883
591590-24,2003,57189,1.0,0,0,0,2217304
2176012-22,2003,57189,1.0,0,0,0,2215973
2184471-25,2003,57189,1.0,0,0,0,2215975
2186535-22,2003,57189,1.0,0,0,0,2217214
2189655-21,2003,57189,1.0,0,0,0,2217303
2204687-21,2003,57189,1.0,0,0,0,2215972
2204695-20,2003,57189,1.0,0,0,0,2216029
2205825-19,2003,57189,1.0,0,0,0,2215970
2205837-19,2003,57189,1.0,0,0,0,2215974
2205847-19,2003,57189,1.0,0,0,0,2215985
2205854-19,2003,57189,1.0,0,0,0,2215978
2205855-19,2003,57189,1.0,0,0,0,2215969
2149872-38,2003,57189,1.0,0,0,0,2215493
2175737-23,2003,57189,1.0,0,0,0,2215495
2175739-59,2003,57189,1.0,0,0,0,2209369
2189816-21,2003,57189,1.0,0,0,0,2215496
1301758-107,2003,57189,1.0,0,0,0,2211216
2200837-26,2003,57189,1.0,0,0,0,2213733
2151082-61,2003,57189,1.0,0,0,0,2214694
2197346-38,2003,57189,1.0,0,0,0,2213298
577194-97,2003,57189,1.0,0,0,0,2213696
529911-38,2003,57189,1.0,0,0,0,2211808
556233-43,2003,57189,1.0,0,0,0,2212497
2189651-36,2003,57189,1.0,0,0,0,2211912
2189663-36,2003,57189,1.0,0,0,0,2211916
2189679-36,2003,57189,1.0,0,0,0,2211913
2189681-36,2003,57189,1.0,0,0,0,2211914
2189682-36,2003,57189,1.0,0,0,0,2211915
2218766-3,538650,57305,1.0,0,0,0,0
2219198-2,538650,57305,1.0,0,0,0,0
2218280-4,6855,57159,1.0,0,0,0,0
2219177-4,6855,57159,1.0,0,0,0,0
2219044-2,538315,57265,1.0,0,0,0,0
2219046-2,538315,57265,1.0,0,0,0,0
2219047-2,538315,57265,1.0,0,0,0,0
2219072-2,538315,57265,1.0,0,0,0,0
2219199-2,538315,57265,1.0,0,0,0,0
2219200-2,538315,57265,1.0,0,0,0,0
2219201-2,538315,57265,1.0,0,0,0,0
2219202-2,538315,57265,1.0,0,0,0,0
2218957-4,6855,57159,1.0,0,0,0,0
2218197-3,538650,57305,1.0,0,0,0,0
2214151-11,180,57347,1.0,329,11,2,0
