idVotacao,voto,deputado_id,deputado_siglaPartido,pardido_id,deputado_siglaUf
1063052-76,1,160758,PSDB,36835,MG
1063052-76,1,178940,PR,36814,RJ
1063052-76,1,160643,PROS,36763,ES
1063052-76,1,178994,PMDB,36800,TO
1063052-76,1,73447,PMDB,36800,SP
1063052-76,1,141417,PMDB,36800,RR
1063052-76,1,160578,PSC,36833,PR
1063052-76,1,134812,PSOL,36839,PA
1063052-76,1,74655,PSDB,36835,MG
1063052-76,1,92346,PSC,36833,SP
1063052-76,0,74173,PMDB,36800,RJ
1063052-76,1,141421,PP,36809,PE
1063052-76,1,141422,DEM,36769,PB
1063052-76,1,181316,PSDB,36835,MS
1063052-76,1,178883,REDE,36886,MA
1063052-76,1,178854,DEM,36769,BA
1063052-76,1,132504,PT,36844,PR
1063052-76,1,160575,PT,36844,DF
1063052-76,1,99654,PSC,36833,BA
1063052-76,1,160649,PP,36809,SC
1063052-76,1,178871,PV,36851,ES
1063052-76,1,178828,PV,36851,SP
1063052-76,1,178930,PSD,36834,PR
1063052-76,1,178953,SD,36765,RO
1063052-76,1,178941,PMB,36887,RJ
1063052-76,1,141428,PSD,36834,RN
1063052-76,1,178905,PSB,36832,MT
1063052-76,1,178969,PSD,36834,SE
1063052-76,1,171623,PMDB,36800,SE
1063052-76,1,178877,PSDB,36835,GO
1063052-76,1,66828,PRB,36815,SP
1063052-76,1,141430,PSD,36834,RJ
1063052-76,1,141429,DEM,36769,RN
1063052-76,1,160666,PDT,36786,BA
1063052-76,1,141431,PSB,36832,PE
1063052-76,1,163831,PMDB,36800,RJ
1063052-76,1,92699,PP,36809,PE
1063052-76,1,160676,PSD,36834,BA
1063052-76,1,160598,PDT,36786,GO
1063052-76,1,141434,PMDB,36800,AC
1063052-76,1,178978,PSB,36832,SP
1063052-76,1,191923,PDT,36786,PI
1063052-76,1,160677,PR,36814,RJ
1063052-76,1,186775,PTdoB,36847,MG
1063052-76,1,129037,PT,36844,MG
1063052-76,1,160669,SD,36765,CE
1063052-76,1,178966,PSDB,36835,SC
1063052-76,1,74374,PMDB,36800,MS
1063052-76,1,160673,PDT,36786,RS
1063052-76,1,178878,PSDB,36835,GO
1063052-76,1,74558,PROS,36763,AL
1063052-76,1,178872,PT,36844,ES
1063052-76,1,152605,PSOL,36839,RJ
1063052-76,1,74419,PSB,36832,PE
1063052-76,1,129618,PR,36814,CE
1063052-76,1,178980,PSD,36834,SP
1063052-76,1,160667,PP,36809,SP
1063052-76,1,178964,PSB,36832,RS
1063052-76,1,178873,PT,36844,ES
1063052-76,1,178909,DEM,36769,PA
1063052-76,1,73482,PT,36844,RS
1063052-76,1,97707,PSB,36832,PI
1063052-76,1,178981,PSD,36834,SP
1063052-76,1,73772,PMDB,36800,PR
1063052-76,1,160596,PSD,36834,GO
