"idEvento";"uriEvento";"tituloRequerimento";"uriRequerimento"
"58688";"https://dadosabertos.camara.leg.br/api/v2/eventos/58688";"REQ 144/2019 CCTCI";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2229059"
"58690";"https://dadosabertos.camara.leg.br/api/v2/eventos/58690";"REQ 164/2019 CTASP";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2228110"
"58691";"https://dadosabertos.camara.leg.br/api/v2/eventos/58691";"REQ 99/2019 CTASP";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2217634"
"58692";"https://dadosabertos.camara.leg.br/api/v2/eventos/58692";"REQ 31/2019 CTASP";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2198448"
"58699";"https://dadosabertos.camara.leg.br/api/v2/eventos/58699";"REQ 3/2019 CEPOLICI";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2226085"
"58699";"https://dadosabertos.camara.leg.br/api/v2/eventos/58699";"REQ 4/2019 CEPOLICI";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2226086"
"58700";"https://dadosabertos.camara.leg.br/api/v2/eventos/58700";"REQ 118/2019 CLP";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2226134"
"58702";"https://dadosabertos.camara.leg.br/api/v2/eventos/58702";"REQ 72/2019 CPD";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224968"
"58703";"https://dadosabertos.camara.leg.br/api/v2/eventos/58703";"REQ 110/2019 CSPCCO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2215951"
"58707";"https://dadosabertos.camara.leg.br/api/v2/eventos/58707";"REQ 97/2019 CCULT";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2229208"
"58713";"https://dadosabertos.camara.leg.br/api/v2/eventos/58713";"REQ 59/2019 CDU";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2228266"
"58717";"https://dadosabertos.camara.leg.br/api/v2/eventos/58717";"REQ 74/2019 CIDOSO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2229501"
"58723";"https://dadosabertos.camara.leg.br/api/v2/eventos/58723";"REQ 338/2019 CSSF";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227834"
"58725";"https://dadosabertos.camara.leg.br/api/v2/eventos/58725";"REQ 163/2019 CSPCCO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2225918"
"58727";"https://dadosabertos.camara.leg.br/api/v2/eventos/58727";"REQ 70/2019 CLP";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2213697"
"58730";"https://dadosabertos.camara.leg.br/api/v2/eventos/58730";"REQ 169/2019 CSPCCO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227987"
"58732";"https://dadosabertos.camara.leg.br/api/v2/eventos/58732";"REQ 114/2019 CMADS";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2219254"
"58734";"https://dadosabertos.camara.leg.br/api/v2/eventos/58734";"REQ 306/2019 CSSF";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2222322"
"58738";"https://dadosabertos.camara.leg.br/api/v2/eventos/58738";"REQ 142/2019 CVT";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2228106"
"58746";"https://dadosabertos.camara.leg.br/api/v2/eventos/58746";"REQ 94/2019 CDEICS";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2228315"
"58749";"https://dadosabertos.camara.leg.br/api/v2/eventos/58749";"REQ 134/2019 CMADS";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224906"
"58751";"https://dadosabertos.camara.leg.br/api/v2/eventos/58751";"REQ 84/2019 CDC";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2221546"
"58758";"https://dadosabertos.camara.leg.br/api/v2/eventos/58758";"REQ 98/2019 CDEICS";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2229579"
"58759";"https://dadosabertos.camara.leg.br/api/v2/eventos/58759";"REQ 140/2019 CSPCCO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2220526"
"58764";"https://dadosabertos.camara.leg.br/api/v2/eventos/58764";"REQ 297/2019 CSSF";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2220845"
