idProposicao,idDeputadoAutor
2075527,178933.0
2075525,178933.0
2075524,178933.0
2075523,178933.0
2075522,178933.0
2075521,160536.0
2075520,178933.0
2075518,178933.0
2075516,178933.0
2075513,178933.0
2075510,178933.0
2075506,178859.0
2075502,160632.0
2075500,178933.0
2075492,92346.0
2075491,141558.0
2075490,141558.0
2075489,141558.0
2075488,141558.0
2075487,141558.0
2075485,141558.0
2075484,141558.0
2075483,141558.0
2075482,141558.0
2075481,141558.0
2075480,141558.0
2075479,141558.0
2075478,141558.0
2075477,141558.0
2075476,141558.0
2075475,141558.0
2075474,160672.0
2075473,141558.0
2075472,141558.0
2075471,141558.0
2075470,141558.0
2075469,141558.0
2075468,141558.0
2075467,141558.0
2075466,141558.0
2075465,141558.0
2075464,141558.0
2075463,141558.0
2075453,160570.0
2075447,73701.0
2075446,73701.0
2075444,178856.0
2075437,73772.0
2075436,73772.0
2075435,73772.0
2075434,73772.0
2075433,73772.0
2075432,73772.0
2075431,73772.0
2075429,73772.0
2075428,73772.0
2075427,73772.0
2075426,73772.0
2075425,178848.0
2075424,73772.0
2075423,73772.0
2075422,73772.0
2075421,73772.0
2075420,73772.0
2075417,73772.0
2075416,73772.0
2075414,73772.0
2075412,73772.0
2075411,73772.0
2075410,73772.0
2075408,73772.0
2075407,73772.0
2075406,73772.0
2075404,73772.0
2075403,73772.0
2075401,73772.0
2075400,73772.0
2075399,73772.0
2075398,73772.0
2075397,73772.0
2075396,73772.0
2075395,73772.0
2075393,73772.0
2075391,73772.0
2075390,73772.0
2075388,73772.0
2075385,73772.0
2075382,73772.0
2075381,73772.0
2075379,73772.0
2075377,73772.0
2075376,73772.0
2075375,73772.0
2075374,160571.0
2075373,73772.0
2075372,73772.0
2075371,73772.0
2075370,124411.0
2075369,73772.0
2075368,73772.0
2075367,73772.0
2075366,124411.0
2075365,73772.0
2075364,73772.0
2075363,73772.0
2075361,73772.0
2075360,73772.0
2075359,73772.0
2075358,73772.0
2075357,73772.0
2075356,73772.0
2075355,73772.0
2075353,124411.0
2075333,74161.0
2075332,73772.0
2075331,73772.0
2075330,73772.0
2075329,73772.0
2075327,73772.0
2075325,73772.0
2075324,73772.0
2075323,73772.0
2075322,73772.0
2075320,73772.0
2075318,73772.0
2075316,73772.0
2075314,73772.0
2075313,73772.0
2075310,73772.0
2075308,73772.0
2075307,73772.0
2075306,73772.0
2075303,73772.0
2075301,73772.0
2075299,73772.0
2075298,73772.0
2075297,73772.0
2075296,73772.0
2075295,73772.0
2075294,73772.0
2075293,73772.0
2075292,73772.0
2075291,73772.0
2075290,178829.0
2075289,73772.0
2075288,73772.0
2075287,73772.0
2075286,73772.0
2075285,73772.0
2075284,73772.0
2075283,134812.0
2075282,73772.0
2075281,160598.0
2075280,73772.0
2075279,73772.0
2075278,73772.0
2075277,164360.0
2075276,73772.0
2075275,73772.0
2075274,73772.0
2075273,164360.0
2075272,73772.0
2075271,73772.0
2075270,73772.0
2075269,73772.0
2075268,73772.0
2075267,73772.0
2075266,73772.0
2075265,73772.0
2075264,73772.0
2075262,73772.0
2075261,73772.0
2075260,73772.0
2075259,73772.0
2075258,73772.0
2075257,160672.0
2075256,73772.0
2075255,73772.0
2075254,73772.0
2075253,73772.0
2075252,73772.0
2075251,73772.0
2075250,73772.0
2075249,73772.0
2075248,73772.0
2075247,73772.0
2075246,73772.0
2075245,73772.0
2075242,141536.0
2075240,178879.0
2075237,178851.0
2075236,178851.0
2075233,132504.0
2075225,141450.0
2075223,141450.0
2075221,178933.0
2075218,141488.0
2075205,178900.0
2075204,178932.0
2075203,178932.0
2075202,178932.0
2075200,178932.0
2075199,178932.0
2075198,73579.0
2075197,178932.0
2075196,178932.0
2075195,178932.0
2075194,178932.0
2075192,178901.0
2075191,160517.0
2075189,178932.0
2075188,178932.0
2075187,178932.0
2075186,178932.0
2075185,178932.0
2075184,178932.0
2075183,160588.0
2075182,160588.0
2075181,141454.0
2075180,178932.0
2075179,160666.0
2075178,178932.0
2075177,178932.0
2075176,160666.0
2075175,178932.0
2075172,178932.0
2075171,160666.0
2075169,178932.0
2075168,160666.0
2075167,178932.0
2075166,160666.0
2075165,178932.0
2075164,178932.0
